251-0919: ['3M'] | 5306 | 251-0919 | RS | ['3M:3M Scotch-Brite 86 Medium Abrasive Hand Pad, 224mm x 158mm '] | ['3M:None'] | Abrasive Hand Pads & Sponges
111-5884: ['RS Pro'] | None | 111-5884 | RS | ['RS Pro:RS Pro Steel Ruler, Imperial or Metric 600mm'] | ['RS Pro:None'] | Rulers
304-8819: ['Kleffmann & Weese'] | 901 300MM | 304-8819 | RS | ['Kleffmann & Weese:Kleffmann & Weese Stainless Steel Ruler, Metric 300mm'] | ['Kleffmann & Weese:None'] | Rulers
625-0330: ['Schmersal'] | AZ16-02ZVRK-M20 | 625-0330 | RS | ['Schmersal:AZ16 Safety Interlock Switch, Fibreglass, 2NC'] | ['Schmersal:None'] | Safety-Rated Interlock Switches
414-5646: ['Saia-Burgess'] | 4BR | 414-5646 | RS | ['Saia-Burgess:SP-NO/NC Plunger Microswitch, 15 A @ 250 V ac '] | ['Saia-Burgess:None'] | Microswitches
414-5646: ['Saia-Burgess'] | 4BR | 414-5646 | RS | ['Saia-Burgess:SP-NO/NC Plunger Microswitch, 15 A @ 250 V ac '] | ['Saia-Burgess:None'] | Microswitches
623-3054: ['Schmersal'] | AZ16-12ZVRK-M20 | 623-3054 | RS | ['Schmersal:AZ16 Safety Interlock Switch, Fibreglass, 2NC/1NO'] | ['Schmersal:None'] | Safety-Rated Interlock Switches
623-3234: ['Schmersal'] | AZ 15/16-B1 | 623-3234 | RS | ['Schmersal:Schmersal AZ 15/16-B1 Actuator, For Use With AZ 15 Safety Switch '] | ['Schmersal:None'] | Machine Guarding Accessories
436-2037: ['Schneider Electric'] | XVBC2B3 | 436-2037 | RS | ['Schneider Electric:Harmony Harmony XVB Beacon Unit, Green LED, Steady Light Effect, 24 V ac/dc '] | ['Schneider Electric:None'] | Modular Beacon Tower Components
609-6108: ['Schneider Electric'] | XB5AK123B5 | 609-6108 | RS | ['Schneider Electric:Schneider Electric 2 Position 90° Rotary Switch, 600 V ac/dc, 6 A ac, 550 mA dc, Handle, Stay Put Actuator '] | ['Schneider Electric:None'] | Rotary Cam Switches
609-6085: ['Schneider Electric'] | XB5AG41 | 609-6085 | RS | ['Schneider Electric:Schneider Electric 2 Position 90° Rotary Switch, Key, Stay Put Actuator '] | ['Schneider Electric:None'] | Rotary Cam Switches
394-9762: ['Schneider Electric'] | LC1D12BD | 394-9762 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 12 A, 24 V dc Coil, TeSys D, 3NO, 5.5 kW'] | ['Schneider Electric:None'] | Contactors
394-9762: ['Schneider Electric'] | LC1D12BD | 394-9762 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 12 A, 24 V dc Coil, TeSys D, 3NO, 5.5 kW'] | ['Schneider Electric:None'] | Contactors
394-9762: ['Schneider Electric'] | LC1D12BD | 394-9762 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 12 A, 24 V dc Coil, TeSys D, 3NO, 5.5 kW'] | ['Schneider Electric:None'] | Contactors
394-9762: ['Schneider Electric'] | LC1D12BD | 394-9762 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 12 A, 24 V dc Coil, TeSys D, 3NO, 5.5 kW'] | ['Schneider Electric:None'] | Contactors
394-9762: ['Schneider Electric'] | LC1D12BD | 394-9762 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 12 A, 24 V dc Coil, TeSys D, 3NO, 5.5 kW'] | ['Schneider Electric:None'] | Contactors
400-1934: ['Schneider Electric'] | LC1D25BL | 400-1934 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 25 A, 24 V dc Coil, TeSys D, 3NO, 11 kW '] | ['Schneider Electric:None'] | Contactors
845-1380: ['Schneider Electric'] | LC1D126BL | 845-1380 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 25 A, 24 V dc Coil, TeSys D, 3NO, 7.5 kW '] | ['Schneider Electric:None'] | Contactors
845-1380: ['Schneider Electric'] | LC1D126BL | 845-1380 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 25 A, 24 V dc Coil, TeSys D, 3NO, 7.5 kW '] | ['Schneider Electric:None'] | Contactors
845-1608: ['Schneider Electric'] | LC1D186BD | 845-1608 | RS | ['Schneider Electric:Schneider Electric 3 Pole Contactor, 32 A, 24 V dc Coil, TeSys D, 3NO, 7.5 kW '] | ['Schneider Electric:None'] | Contactors
609-6041: ['Schneider Electric'] | XB5AD33 | 609-6041 | RS | ['Schneider Electric:Schneider Electric 3 Position 45° Rotary Switch, 600 V ac/dc, 6 A ac, 550 mA dc, Handle, Stay Put Actuator '] | ['Schneider Electric:None'] | Rotary Cam Switches
791-3161: ['Schneider Electric'] | A9F53110 | 791-3161 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 10 A, 10 KA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-3161: ['Schneider Electric'] | A9F53110 | 791-3161 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 10 A, 10 KA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-3470: ['Schneider Electric'] | A9F55110 | 791-3470 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 10 A, 10 KA, Curve D'] | ['Schneider Electric:None'] | MCBs
791-3146: ['Schneider Electric'] | A9F53102 | 791-3146 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 2 A, 10 KA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-3146: ['Schneider Electric'] | A9F53102 | 791-3146 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 2 A, 10 KA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-3158: ['Schneider Electric'] | A9F53104 | 791-3158 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 4 A, 10 KA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-3467: ['Schneider Electric'] | A9F55104 | 791-3467 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 4 A, 10 KA, Curve D'] | ['Schneider Electric:None'] | MCBs
791-3152: ['Schneider Electric'] | A9F53106 | 791-3152 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 6 A, 10 KA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-3152: ['Schneider Electric'] | A9F53106 | 791-3152 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 6 A, 10 KA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-3152: ['Schneider Electric'] | A9F53106 | 791-3152 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 1P, 6 A, 10 KA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-3502: ['Schneider Electric'] | A9F55202 | 791-3502 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 2P, 2 A, 10 KA, Curve D'] | ['Schneider Electric:None'] | MCBs
791-3565: ['Schneider Electric'] | A9F55310 | 791-3565 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 3P, 10 A, 10 KA, Curve D'] | ['Schneider Electric:None'] | MCBs
791-3565: ['Schneider Electric'] | A9F55310 | 791-3565 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 3P, 10 A, 10 KA, Curve D'] | ['Schneider Electric:None'] | MCBs
791-3391: ['Schneider Electric'] | A9F54320 | 791-3391 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 3P, 20 A, 10 KA, Curve C'] | ['Schneider Electric:None'] | MCBs
791-3394: ['Schneider Electric'] | A9F54325 | 791-3394 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 3P, 25 A, 10 KA, Curve C'] | ['Schneider Electric:None'] | MCBs
791-3408: ['Schneider Electric'] | A9F54340 | 791-3408 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60H MCB Mini Circuit Breaker 3P, 40 A, 10 KA, Curve C'] | ['Schneider Electric:None'] | MCBs
790-8787: ['Schneider Electric'] | A9F43201 | 790-8787 | RS | ['Schneider Electric:Schneider Electric Acti 9 iC60N MCB Mini Circuit Breaker 2P, 1 A, 6 kA, Curve B'] | ['Schneider Electric:None'] | MCBs
791-2824: ['Schneider Electric'] | A9A26924 | 791-2824 | RS | ['Schneider Electric:Schneider Electric Acti 9 iOF, NO/NC (1), Auxiliary Contact, DIN Rail Mount, 2 A dc, 6 A ac'] | ['Schneider Electric:None'] | Auxiliary Contacts
791-2824: ['Schneider Electric'] | A9A26924 | 791-2824 | RS | ['Schneider Electric:Schneider Electric Acti 9 iOF, NO/NC (1), Auxiliary Contact, DIN Rail Mount, 2 A dc, 6 A ac'] | ['Schneider Electric:None'] | Auxiliary Contacts
791-2824: ['Schneider Electric'] | A9A26924 | 791-2824 | RS | ['Schneider Electric:Schneider Electric Acti 9 iOF, NO/NC (1), Auxiliary Contact, DIN Rail Mount, 2 A dc, 6 A ac'] | ['Schneider Electric:None'] | Auxiliary Contacts
331-0580: ['Schneider Electric'] | ZENL1121 | 331-0580 | RS | ['Schneider Electric:Schneider Electric Harmony XAL Contact Block 1NC Screw terminal '] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
331-0580: ['Schneider Electric'] | ZENL1121 | 331-0580 | RS | ['Schneider Electric:Schneider Electric Harmony XAL Contact Block 1NC Screw terminal '] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
331-0574: ['Schneider Electric'] | ZENL1111 | 331-0574 | RS | ['Schneider Electric:Schneider Electric Harmony XAL Contact Block 1NO Screw terminal '] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
331-0489: ['Schneider Electric'] | ZBE102 | 331-0489 | RS | ['Schneider Electric:Schneider Electric Harmony XB Contact Block 1NC 600 V ac Screw terminal'] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
882-7897: ['Schneider Electric'] | ZBY9320 | 882-7897 | RS | ['Schneider Electric:Schneider Electric Harmony XB Legend Plate for use with Emergency Stop Mushroom Head Push Button '] | ['Schneider Electric:None'] | Push Button Accessories
342-3030: ['Schneider Electric'] | ZBY2323 | 342-3030 | RS | ['Schneider Electric:Schneider Electric Harmony XB Legend Plate for use with XALD Series, XALE Series, XALK Series, XB4 Series, XB5 Series, '] | ['Schneider Electric:None'] | Push Button Accessories
334-9617: ['Schneider Electric'] | ZBY2178 | 334-9617 | RS | ['Schneider Electric:Schneider Electric Harmony XB Legend Plate for use with XB4 Series '] | ['Schneider Electric:None'] | Push Button Accessories
334-9724: ['Schneider Electric'] | ZBY2186 | 334-9724 | RS | ['Schneider Electric:Schneider Electric Harmony XB Legend Plate for use with XB4 Series '] | ['Schneider Electric:None'] | Push Button Accessories
609-3395: ['Schneider Electric'] | ZBY6101 | 609-3395 | RS | ['Schneider Electric:Schneider Electric Harmony XB Legend Plate for use with XB4 Series, XB5 Series '] | ['Schneider Electric:None'] | Push Button Accessories
610-2821: ['Schneider Electric'] | ZBVB3 | 610-2821 | RS | ['Schneider Electric:Schneider Electric Harmony XB Light Block LED Green 24 V Screw terminal '] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
609-2285: ['Schneider Electric'] | ZB4BG312 | 609-2285 | RS | ['Schneider Electric:Schneider Electric Harmony XB4 3 Position Key Switch Head Latching '] | ['Schneider Electric:None'] | Key Switch & Selector Switch Heads
746-9437: ['Schneider Electric'] | XB5AVB6 | 746-9437 | RS | ['Schneider Electric:Schneider Electric Harmony XB5 Blue LED Pilot Light, 22mm Cutout, IP66, IP67, 24 V ac/dc '] | ['Schneider Electric:None'] | Pilot Light Complete Units
746-9437: ['Schneider Electric'] | XB5AVB6 | 746-9437 | RS | ['Schneider Electric:Schneider Electric Harmony XB5 Blue LED Pilot Light, 22mm Cutout, IP66, IP67, 24 V ac/dc '] | ['Schneider Electric:None'] | Pilot Light Complete Units
331-0372: ['Schneider Electric'] | ZB5AVB3 | 331-0372 | RS | ['Schneider Electric:Schneider Electric Harmony XB5 Light Block LED Green 24 V ac/dc Screw terminal '] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
331-0372: ['Schneider Electric'] | ZB5AVB3 | 331-0372 | RS | ['Schneider Electric:Schneider Electric Harmony XB5 Light Block LED Green 24 V ac/dc Screw terminal '] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
331-0388: ['Schneider Electric'] | ZB5AVB4 | 331-0388 | RS | ['Schneider Electric:Schneider Electric Harmony XB5 Light Block LED Red 24 V ac/dc Screw terminal '] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
331-0401: ['Schneider Electric'] | ZB5AVB5 | 331-0401 | RS | ['Schneider Electric:Schneider Electric Harmony XB5 Light Block LED Yellow 24 V ac/dc Screw terminal '] | ['Schneider Electric:None'] | Contact Blocks & Light Blocks
134-5416: ['Schneider Electric'] | ZB5AW383 | 134-5416 | RS | ['Schneider Electric:Schneider Electric Harmony XB5 Series, Yellow Push Button Head, Spring Return, 22mm Cutout '] | ['Schneider Electric:None'] | Push Button Heads
123-8167: ['Schneider Electric'] | XB5AS8444 | 123-8167 | RS | ['Schneider Electric:Schneider Electric Harmony, Red, Turn to Release 40mm Mushroom Head Emergency Button '] | ['Schneider Electric:None'] | Emergency Stop Push Buttons
795-1312: ['Schneider Electric'] | XB5AS8442 | 795-1312 | RS | ['Schneider Electric:Schneider Electric Harmony, Red, Twist to Reset 40mm Mushroom Head Emergency Button '] | ['Schneider Electric:None'] | Emergency Stop Push Buttons
795-1295: ['Schneider Electric'] | XALK178 | 795-1295 | RS | ['Schneider Electric:Schneider Electric Harmony, Yellow, Twist to Reset 40mm Mushroom Head Emergency Button '] | ['Schneider Electric:None'] | Emergency Stop Push Buttons
395-0289: ['Schneider Electric'] | GV2ME06 | 395-0289 | RS | ['Schneider Electric:Schneider Electric TeSys 690 V Motor Protection Circuit Breaker, 3P Channels, 1 ? 1.6 A'] | ['Schneider Electric:None'] | Motor Protection Circuit Breakers
305-2183: ['Schneider Electric'] | GV2P08 | 305-2183 | RS | ['Schneider Electric:Schneider Electric TeSys 690 V Motor Protection Circuit Breaker, 3P Channels, 2.5 ? 4 A, 8 kA'] | ['Schneider Electric:None'] | Motor Protection Circuit Breakers
609-5997: ['Schneider Electric'] | XB5AA21 | 609-5997 | RS | ['Schneider Electric:Schneider Electric, Harmony XB5 Black Round Push Button, NO, 22mm Spring Return Screw '] | ['Schneider Electric:None'] | Push Button Complete Units
178-667: ['Schneider Electric'] | XB5AW36B5 | 178-667 | RS | ['Schneider Electric:Schneider Electric, Harmony XB5 Illuminated Blue Round Push Button, NO/NC, 22mm Spring Return Screw '] | ['Schneider Electric:None'] | Push Button Complete Units
609-6344: ['Schneider Electric'] | XB5AW33B5 | 609-6344 | RS | ['Schneider Electric:Schneider Electric, Harmony XB5 Illuminated Green Round Push Button, NO/NC, 22mm Spring Return Screw '] | ['Schneider Electric:None'] | Push Button Complete Units
609-6366: ['Schneider Electric'] | XB5AW34B5 | 609-6366 | RS | ['Schneider Electric:Schneider Electric, Harmony XB5 Illuminated Red Round Push Button, NO/NC, 22mm Spring Return Screw '] | ['Schneider Electric:None'] | Push Button Complete Units
739-8064: ['Schneider Electric'] | XB4RFA02 | 739-8064 | RS | ['Schneider Electric:Schneider Electric, Harmony XB5R Push Button, 22mm Screw '] | ['Schneider Electric:None'] | Push Button Complete Units
609-4708: ['Schneider Electric'] | XALK178E | 609-4708 | RS | ['Schneider Electric:Schneider Electric, Red/Yellow/Grey, Twist to Reset 40mm Mushroom Head Emergency Button '] | ['Schneider Electric:None'] | Emergency Stop Push Buttons
323-3095: ['Wera'] | 05066320001 867/1 TZ TORX | 323-3095 | RS | ['Wera:Wera Torx Driver Bit, T40'] | ['Wera:None'] | Screwdriver Bits & Bit Sets
323-3326: ['Wera'] | 05060192001 867/4 Z TORX | 323-3326 | RS | ['Wera:Wera Torx Driver Bit, T40 x 89 mm'] | ['Wera:None'] | Screwdriver Bits & Bit Sets
615-9209: ['RS Pro'] | None | 615-9209 | RS | ['RS Pro:RS Driver Bit Set 32 pieces, Slotted: 3; 4; 4.5; 5; 6; 7; 8; 9 x 25 mm; Phillips: PH0; PH1; PH2; PH3 x 25 mm; Supadriv:'] | ['RS Pro:None'] | Screwdriver Bits & Bit Sets
184-5999: ['Sensata / Crydom'] | D53TP50D | 184-5999 | RS | ['Sensata / Crydom:Sensata / Crydom 50 A rms Solid State Relay, Zero Cross, Panel Mount, SCR, 530 V rms Maximum Load '] | ['Sensata / Crydom:None'] | Solid State Relays
170-7241: ['SES Sterling'] | 02010004010 | 170-7241 | RS | ['SES Sterling:SES Sterling Expandable Neoprene Black Cable Sleeve, 3mm Diameter, 25mm Length '] | ['SES Sterling:None'] | Cable Sleeves
696-1743: ['Sharpie'] | S0810840 | 696-1743 | RS | ['Sharpie:Sharpie Extra Fine Tip Black Marker Pen '] | ['Sharpie:None'] | Marker Pens
800-4022: ['Sick'] | KTM-WP11181P | 800-4022 | RS | ['Sick:12.5 mm Blue, Green, Red LED Contrast Sensors, PNP, 100 mA, 12 ? 24 V dc, IP67 '] | ['Sick:None'] | Light Intensity or Colour or Contrast Sensors
769-6771: ['Sick'] | DOL-1204-G02M | 769-6771 | RS | ['Sick:Sick M12 4-Pin Female Connecting Cable for use with LUT2-2 Series '] | ['Sick:None'] | Sensor & Switch Cables & Connectors
265-2760: ['Sick'] | PL30A | 265-2760 | RS | ['Sick:Sick Sensor Reflector for use with W11-2 Series '] | ['Sick:None'] | Sensor Reflectors
862-4471: ['Siemens'] | 6ES7214-1AG40-0XB0 | 862-4471 | RS | ['Siemens:Siemens S7-1200 PLC CPU, Ethernet Networking Profinet Interface, 75 kB Program Capacity, 14 (Digital Input, 2 switch as'] | ['Siemens:None'] | PLC CPUs
787-7945: ['Siemens'] | 6ES7221-1BH32-0XB0 | 787-7945 | RS | ['Siemens:Siemens SM 1221 PLC I/O Module 16 Inputs, 24 V dc, 100 x 45 x 75 mm'] | ['Siemens:None'] | PLC I/O Modules
787-7949: ['Siemens'] | 6ES7222-1BF32-0XB0 | 787-7949 | RS | ['Siemens:Siemens SM 1222 PLC I/O Module 8 Outputs 500 mA 24 V dc, 100 x 45 x 75 mm'] | ['Siemens:None'] | PLC I/O Modules
815-5278: ['SMC'] | AS1201FS-M5-06 | 815-5278 | RS | ['SMC:SMC AS Series Speed Controller, M5 x 0.8 Male Inlet Port x 6mm Tube Outlet Port '] | ['SMC:None'] | Pneumatic Function Fittings
137-714: ['RS Pro'] | None | 137-714 | RS | ['RS Pro:RS PRO M3 x 3mm Hex Socket Set Screw Plain Stainless Steel'] | ['RS Pro:None'] | Socket Screws
872-5722: ['Lubetech'] | 65-7020 | 872-5722 | RS | ['Lubetech:Lubetech, 20 Per Package. Oil Spill Absorbent Pad 20 L Capacity'] | ['Lubetech:None'] | Spill Absorbents
530-848: ['RS Pro'] | None | 530-848 | RS | ['RS Pro:A2 stainless steel spring washer,M6'] | ['RS Pro:None'] | Spring Washers
775-7233: ['RS PRO'] | None | 775-7233 | RS | ['RS PRO:RS Button Battery, LR44, 1.5V, 11.53mm Diameter '] | ['RS PRO:None'] | Coin Button Batteries
775-7233: ['RS PRO'] | None | 775-7233 | RS | ['RS PRO:RS Button Battery, LR44, 1.5V, 11.53mm Diameter '] | ['RS PRO:None'] | Coin Button Batteries
781-1551: ['Squire'] | RS CP40/2.5 | 781-1551 | RS | ['Squire:Squire 40mm Die Cast Alloy Combination Padlock '] | ['Squire:None'] | Padlocks
737-0084: ['STAHLWILLE'] | 40082424 | 737-0084 | RS | ['STAHLWILLE:STAHLWILLE 24 mm Combination Spanner, Alloy Steel '] | ['STAHLWILLE:None'] | Combination Spanners
264-2404: ['Stanley'] | 86C | 264-2404 | RS | ['Stanley:Stanley 5 Piece Cold Chisel Set '] | ['Stanley:None'] | Chisels
572-268: ['Starrett'] | DY5170 | 572-268 | RS | ['Starrett:Starrett DY5170 Steel Feeler Gauge, Single Blade '] | ['Starrett:None'] | Feeler Gauges
572-268: ['Starrett'] | DY5170 | 572-268 | RS | ['Starrett:Starrett DY5170 Steel Feeler Gauge, Single Blade '] | ['Starrett:None'] | Feeler Gauges
572-268: ['Starrett'] | DY5170 | 572-268 | RS | ['Starrett:Starrett DY5170 Steel Feeler Gauge, Single Blade '] | ['Starrett:None'] | Feeler Gauges
572-268: ['Starrett'] | DY5170 | 572-268 | RS | ['Starrett:Starrett DY5170 Steel Feeler Gauge, Single Blade '] | ['Starrett:None'] | Feeler Gauges
572-280: ['Starrett'] | DY5174 | 572-280 | RS | ['Starrett:Starrett DY5174 Steel Feeler Gauge, Single Blade '] | ['Starrett:None'] | Feeler Gauges
572-280: ['Starrett'] | DY5174 | 572-280 | RS | ['Starrett:Starrett DY5174 Steel Feeler Gauge, Single Blade '] | ['Starrett:None'] | Feeler Gauges
572-280: ['Starrett'] | DY5174 | 572-280 | RS | ['Starrett:Starrett DY5174 Steel Feeler Gauge, Single Blade '] | ['Starrett:None'] | Feeler Gauges
572-280: ['Starrett'] | DY5174 | 572-280 | RS | ['Starrett:Starrett DY5174 Steel Feeler Gauge, Single Blade '] | ['Starrett:None'] | Feeler Gauges
511-308: ['Starrett'] | FCH1036 | 511-308 | RS | ['Starrett:Starrett HSS 21mm Hole Saw Bi-Metal, 38mm Cut Depth '] | ['Starrett:None'] | Hole Saws
224-5407: ['Starrett'] | DY465 | 224-5407 | RS | ['Starrett:Starrett Steel Ruler, Metric 150mm '] | ['Starrett:None'] | Rulers
341-0343: ['Steinbach & Vollman'] | None | 341-0343 | RS | ['Steinbach & Vollman:Double ball catch,Type 2, 49x9mm '] | ['Steinbach & Vollman:None'] | Ball Catches
341-0359: ['Steinbach & Vollman'] | None | 341-0359 | RS | ['Steinbach & Vollman:Double ball catch,Type 3, 59x11.5mm '] | ['Steinbach & Vollman:None'] | Ball Catches
348-7141: ['Steinbach & Vollman'] | None | 348-7141 | RS | ['Steinbach & Vollman:Steinbach & Vollman Polyamide Black Lock, Wing, 40mm '] | ['Steinbach & Vollman:None'] | Locking Handles
348-7141: ['Steinbach & Vollman'] | None | 348-7141 | RS | ['Steinbach & Vollman:Steinbach & Vollman Polyamide Black Lock, Wing, 40mm '] | ['Steinbach & Vollman:None'] | Locking Handles
341-0286: ['Steinbach & Vollman'] | 0.95.0663.0 | 341-0286 | RS | ['Steinbach & Vollman:Steinbach & Vollman Stainless Steel Key '] | ['Steinbach & Vollman:None'] | Camlocks & Cabinet Locks
341-0286: ['Steinbach & Vollman'] | 0.95.0663.0 | 341-0286 | RS | ['Steinbach & Vollman:Steinbach & Vollman Stainless Steel Key '] | ['Steinbach & Vollman:None'] | Camlocks & Cabinet Locks
729-9917: ['Tente'] | 5320 PJP 075 S70 M10x15 (Levina) | 729-9917 | RS | ['Tente:Tente Stem Swivel Castors 5320 PJP 075 S70 M10x15 (Levina) , 75kg, Rubber tyres'] | ['Tente:None'] | Stem Castors
444-2537: ['Stormguard'] | 02RS0190838A | 444-2537 | RS | ['Stormguard:Stormguard Brush Strip '] | ['Stormguard:None'] | Door Seals & Brush Strips
125-0609: ['Sylvania'] | 45175 | 125-0609 | RS | ['Sylvania:79 W Integrated LED Ceiling Light Single Batten, 240 V, 1 Lamp, 1505 x 66 x 76 mm '] | ['Sylvania:None'] | Ceiling Lights
125-0634: ['Sylvania'] | 45235 | 125-0634 | RS | ['Sylvania:Ceiling Light Batten Reflector LED Batten, 1.498 m Length '] | ['Sylvania:None'] | Light Reflectors
575-093: ['Stanley'] | 0-33-526 | 575-093 | RS | ['Stanley:Stanley PowerLock 8m Tape Measure, , Metric & Imperial'] | ['Stanley:None'] | Tape Measures
135-4469: ['TE Connectivity'] | 33462 | 135-4469 | RS | ['TE Connectivity:TE Connectivity SOLISTRAND Series Uninsulated Crimp Ring Terminal, 8mm Stud Size '] | ['TE Connectivity:None'] | Crimp Ring Terminals
161-1291: ['TE Connectivity'] | 323680 | 161-1291 | RS | ['TE Connectivity:TE Connectivity STRATO-THERM Series Uninsulated Crimp Ring Terminal, M5 Stud Size, 2.6mm² to 6.6mm² Wire Size '] | ['TE Connectivity:None'] | Crimp Ring Terminals
210-5589: ['Thomas & Betts'] | RSTY200-120-100 | 210-5589 | RS | ['Thomas & Betts:Thomas & Betts, Ty-Fast Series White Nylon Cable Tie, 220mm x 7.6 mm '] | ['Thomas & Betts:None'] | Cable Ties
605-217: ['Thomas & Betts'] | TY400-120 | 605-217 | RS | ['Thomas & Betts:Thomas & Betts, Ty-Fast Series White Nylon Cable Tie, 375mm x 7.6 mm '] | ['Thomas & Betts:None'] | Cable Ties
818-7026: ['Thomas & Betts'] | TS1025HF | 818-7026 | RS | ['Thomas & Betts:Thomas & Betts, Ty-Fast Series White Nylon Standard Cable Tie, 100mm x 2.5 mm '] | ['Thomas & Betts:None'] | Cable Ties
818-7029: ['Thomas & Betts'] | TS1435HF | 818-7029 | RS | ['Thomas & Betts:Thomas & Betts, Ty-Fast Series White Nylon Standard Cable Tie, 140mm x 3.5 mm '] | ['Thomas & Betts:None'] | Cable Ties
212-8122: ['Thomas & Betts'] | TY53MFR | 212-8122 | RS | ['Thomas & Betts:Thomas & Betts, Ty-Rap Series White Nylon Cable Tie, 101.6mm x 2.3 mm '] | ['Thomas & Betts:None'] | Cable Ties
212-8071: ['Thomas & Betts'] | RSTY24MFR | 212-8071 | RS | ['Thomas & Betts:Thomas & Betts, Ty-Rap Series White Nylon Cable Tie, 140mm x 3.6 mm '] | ['Thomas & Betts:None'] | Cable Ties
622-177: ['Thomas & Betts'] | TY525MR | 622-177 | RS | ['Thomas & Betts:Thomas & Betts, Ty-Rap Series White Nylon Cable Tie, 185.67mm x 4.83 mm '] | ['Thomas & Betts:None'] | Cable Ties
212-8065: ['Thomas & Betts'] | RSTY23MFR | 212-8065 | RS | ['Thomas & Betts:Thomas & Betts, Ty-Rap Series White Nylon Cable Tie, 92mm x 2.3 mm '] | ['Thomas & Betts:None'] | Cable Ties
269-5420: ['Dormer'] | E100 4N8 | 269-5420 | RS | ['Dormer:Dormer HSS M4 Straight Flute Thread Tap, 45 mm Length'] | ['Dormer:None'] | Threading Taps
811-1473: ['RS Pro'] | None | 811-1473 | RS | ['RS Pro:RS PRO Green/Yellow Tri-rated Cable, 6 mm² CSA, 1 kV, 53 A, 100m'] | ['RS Pro:None'] | Tri-rated Cable
906-2694: ['RS Pro'] | None | 906-2694 | RS | ['RS Pro:RS PRO Dark Blue Tri-rated Cable, 0.5 mm² CSA, 1 kV, 11 A, 100m'] | ['RS Pro:None'] | Tri-rated Cable
744-0871: ['SMC'] | TJ-0425 | 744-0871 | RS | ['SMC:SMC 4mm Brass Tubing Sleeve'] | ['SMC:None'] | Tubing Sleeves for Pneumatic Adaptors & Fittings
842-3767: ['Turck'] | C5-A30DX/024VDC | 842-3767 | RS | ['Turck:3PDT Plug In Latching Relay 16 A, 24V dc For Use In General Purpose Applications '] | ['Turck:None'] | Latching Relays
667-9220: ['Wago'] | 750-400 | 667-9220 | RS | ['Wago:Wago I/O SYSTEM 750 PLC I/O Module 2 (Channel) Inputs, 24 V dc, 100 x 12 x 64 mm'] | ['Wago:None'] | PLC I/O Modules
158-5451: ['Knipex'] | 87 01 250 | 158-5451 | RS | ['Knipex:Knipex 250 mm Water Pump Pliers, Cobra; Utility with 50mm Jaw Capacity'] | ['Knipex:None'] | Water Pump Pliers
